month,district,sentiment_score,review_count,sentiment_score_normalized
2015-01,Anuradhapura,0.8857142857142857,35,94.28571428571428
2015-01,Badulla,1.0,4,100.0
2015-01,Colombo,-0.16666666666666666,6,41.66666666666667
2015-01,Galle,1.0,6,100.0
2015-01,Jaffna,0.8333333333333334,12,91.66666666666667
2015-01,Kalutara,0.875,8,93.75
2015-01,Kandy,0.7333333333333333,15,86.66666666666667
2015-01,Matale,0.16666666666666666,6,58.333333333333336
2015-01,Nuwara Eliya,1.0,1,100.0
2015-01,Other,0.5714285714285714,14,78.57142857142857
2015-02,Ampara,1.0,1,100.0
2015-02,Anuradhapura,0.6956521739130435,23,84.78260869565217
2015-02,Badulla,1.0,2,100.0
2015-02,Galle,1.0,4,100.0
2015-02,Jaffna,0.5833333333333334,12,79.16666666666667
2015-02,Kalutara,0.9,10,95.0
2015-02,Kandy,0.5294117647058824,17,76.47058823529412
2015-02,Matale,1.0,5,100.0
2015-02,Nuwara Eliya,1.0,3,100.0
2015-02,Other,0.5833333333333334,12,79.16666666666667
2015-02,Trincomalee,0.5,2,75.0
2015-03,Ampara,1.0,1,100.0
2015-03,Anuradhapura,0.7058823529411765,17,85.29411764705883
2015-03,Badulla,1.0,1,100.0
2015-03,Colombo,-1.0,2,0.0
2015-03,Galle,1.0,10,100.0
2015-03,Jaffna,0.75,4,87.5
2015-03,Kalutara,0.6666666666666666,3,83.33333333333333
2015-03,Kandy,0.5555555555555556,9,77.77777777777779
2015-03,Matale,0.25,4,62.5
2015-03,Nuwara Eliya,1.0,6,100.0
2015-03,Other,1.0,6,100.0
2015-03,Trincomalee,0.0,2,50.0
2015-04,Ampara,1.0,2,100.0
2015-04,Anuradhapura,0.7368421052631579,19,86.8421052631579
2015-04,Badulla,0.8333333333333334,6,91.66666666666667
2015-04,Colombo,1.0,2,100.0
2015-04,Galle,0.6666666666666666,9,83.33333333333333
2015-04,Jaffna,1.0,3,100.0
2015-04,Kalutara,1.0,1,100.0
2015-04,Kandy,0.4,5,70.0
2015-04,Matale,1.0,2,100.0
2015-04,Nuwara Eliya,1.0,6,100.0
2015-04,Other,0.14285714285714285,7,57.14285714285714
2015-04,Trincomalee,0.8571428571428571,7,92.85714285714286
2015-05,Anuradhapura,0.6363636363636364,11,81.81818181818181
2015-05,Badulla,0.6,5,80.0
2015-05,Colombo,0.2,5,60.0
2015-05,Galle,1.0,3,100.0
2015-05,Jaffna,1.0,2,100.0
2015-05,Kalutara,0.25,4,62.5
2015-05,Kandy,0.5,6,75.0
2015-05,Matale,0.75,4,87.5
2015-05,Nuwara Eliya,0.25,4,62.5
2015-05,Other,0.75,4,87.5
2015-05,Trincomalee,0.5,4,75.0
2015-06,Ampara,0.0,2,50.0
2015-06,Anuradhapura,0.8,10,90.0
2015-06,Badulla,1.0,2,100.0
2015-06,Colombo,0.5,4,75.0
2015-06,Galle,1.0,3,100.0
2015-06,Jaffna,1.0,4,100.0
2015-06,Kalutara,0.0,4,50.0
2015-06,Kandy,0.8,5,90.0
2015-06,Matale,0.0,2,50.0
2015-06,Nuwara Eliya,0.0,4,50.0
2015-06,Other,1.0,4,100.0
2015-06,Trincomalee,0.6,5,80.0
2015-07,Ampara,0.5,4,75.0
2015-07,Anuradhapura,0.5714285714285714,21,78.57142857142857
2015-07,Badulla,0.0,3,50.0
2015-07,Colombo,0.25,8,62.5
2015-07,Galle,1.0,4,100.0
2015-07,Jaffna,0.9,10,95.0
2015-07,Kalutara,-1.0,1,0.0
2015-07,Kandy,0.8571428571428571,7,92.85714285714286
2015-07,Matale,0.42857142857142855,7,71.42857142857143
2015-07,Nuwara Eliya,0.8888888888888888,9,94.44444444444444
2015-07,Other,0.8888888888888888,9,94.44444444444444
2015-07,Trincomalee,1.0,4,100.0
2015-08,Ampara,0.75,4,87.5
2015-08,Anuradhapura,0.7307692307692307,26,86.53846153846155
