month,sentiment_score,positive_count,review_count,negative_count,neutral_count,sentiment_score_normalized,ampara_sentiment,anuradhapura_sentiment,badulla_sentiment,colombo_sentiment,galle_sentiment,gampaha_sentiment,jaffna_sentiment,kalutara_sentiment,kandy_sentiment,matale_sentiment,nuwara_eliya_sentiment,other_sentiment,polonnaruwa_sentiment,trincomalee_sentiment,ampara_reviews,anuradhapura_reviews,badulla_reviews,colombo_reviews,galle_reviews,gampaha_reviews,jaffna_reviews,kalutara_reviews,kandy_reviews,matale_reviews,nuwara_eliya_reviews,other_reviews,polonnaruwa_reviews,trincomalee_reviews
2015-01,0.7339449541284404,89,109,9,11,86.69724770642202,0.7339449541284404,0.8857142857142857,1.0,-0.16666666666666666,1.0,0.7339449541284404,0.8333333333333334,0.875,0.7333333333333333,0.16666666666666666,1.0,0.5714285714285714,0.7339449541284404,0.7339449541284404,,35.0,4.0,6.0,6.0,,12.0,8.0,15.0,6.0,1.0,14.0,,
2015-02,0.7096774193548387,73,93,7,13,85.48387096774194,1.0,0.6956521739130435,1.0,0.7096774193548387,1.0,0.7096774193548387,0.5833333333333334,0.9,0.5294117647058824,1.0,1.0,0.5833333333333334,0.7096774193548387,0.5,1.0,23.0,2.0,,4.0,,12.0,10.0,17.0,5.0,3.0,12.0,,2.0
2015-03,0.6923076923076923,48,65,3,14,84.61538461538461,1.0,0.7058823529411765,1.0,-1.0,1.0,0.6923076923076923,0.75,0.6666666666666666,0.5555555555555556,0.25,1.0,1.0,0.6923076923076923,0.0,1.0,17.0,1.0,2.0,10.0,,4.0,3.0,9.0,4.0,6.0,6.0,,2.0
2015-04,0.7323943661971831,56,71,4,11,86.61971830985915,1.0,0.7368421052631579,0.8333333333333334,1.0,0.6666666666666666,0.7323943661971831,1.0,1.0,0.4,1.0,1.0,0.14285714285714285,0.7323943661971831,0.8571428571428571,2.0,19.0,6.0,2.0,9.0,,3.0,1.0,5.0,2.0,6.0,7.0,,7.0
2015-05,0.5660377358490566,34,53,4,15,78.30188679245282,0.5660377358490566,0.6363636363636364,0.6,0.2,1.0,0.5660377358490566,1.0,0.25,0.5,0.75,0.25,0.75,0.5660377358490566,0.5,,11.0,5.0,5.0,3.0,,2.0,4.0,6.0,4.0,4.0,4.0,,4.0
2015-06,0.62,36,50,5,9,81.0,0.0,0.8,1.0,0.5,1.0,0.62,1.0,0.0,0.8,0.0,0.0,1.0,0.62,0.6,2.0,10.0,2.0,4.0,3.0,,4.0,4.0,5.0,2.0,4.0,4.0,,5.0
2015-07,0.6629213483146067,67,89,8,14,83.14606741573034,0.5,0.5714285714285714,0.0,0.25,1.0,0.6629213483146067,0.9,-1.0,0.8571428571428571,0.42857142857142855,0.8888888888888888,0.8888888888888888,0.6629213483146067,1.0,4.0,21.0,3.0,8.0,4.0,,10.0,1.0,7.0,7.0,9.0,9.0,,4.0
2015-08,0.6548672566371682,85,113,11,17,82.74336283185842,0.75,0.7307692307692307,0.6548672566371682,0.7,1.0,0.6548672566371682,0.5714285714285714,0.8571428571428571,0.7222222222222222,0.125,0.5555555555555556,0.7272727272727273,0.6548672566371682,0.2857142857142857,4.0,26.0,,10.0,5.0,,7.0,7.0,18.0,8.0,9.0,11.0,,7.0
2015-09,0.7563025210084033,96,119,6,17,87.81512605042016,1.0,0.8518518518518519,0.625,0.4,1.0,0.7563025210084033,0.75,0.8571428571428571,0.4666666666666667,1.0,0.9,0.8,0.7563025210084033,0.8333333333333334,1.0,27.0,8.0,10.0,7.0,,8.0,7.0,15.0,3.0,10.0,10.0,,12.0
2015-10,0.6144578313253012,56,83,5,22,80.72289156626506,0.6144578313253012,0.6551724137931034,0.6666666666666666,0.4,0.5,0.6144578313253012,0.0,1.0,0.5833333333333334,0.6666666666666666,0.625,0.7692307692307693,0.6144578313253012,0.5,,29.0,3.0,5.0,2.0,,4.0,1.0,12.0,3.0,8.0,13.0,,2.0
