month,district,source,text,created_at,sentiment_score,category
2025-12,ampara,google_maps,"Budget friendly, perfect location , all pubs and party place just 1 min walk away also near to Ella train station.
Staff is very friendly and respectful.",2025-12-04T11:03:37+00:00,0.9930691016492605,positive
2025-12,ampara,google_maps,"Ravana's Cave is one of those places where the legend is far more captivating than the actual site itself. Tucked away in the hills near Ella, it’s steeped in the ancient lore of the Ramayana, believed to be one of the hideouts where King Ravana kept Princess Sita captive. This mythological connection is what drew me in, offering a chance to walk through a piece of living history.
The adventure begins with a moderately challenging climb—around 650 to 700 steps that wind steeply up through a lush, green forest. The ascent is shaded, which helps with the heat, and you get some genuinely beautiful views of the valley and Little Adam's Peak across the way on your trek up. It's a solid little workout, filled with natural beauty and the chance to spot some local wildlife like monkeys and exotic birds.
However, the ""cave"" at the top is a bit underwhelming. It's essentially a large, dark opening in the rock face, and you can only go a short distance inside before a barricade stops you. It’s very dark, damp, and home to many bats, and there is virtually no historical information provided on-site. Most visitors, myself included, find the journey and the surrounding natural views more rewarding than the cave itself. It's a quick stop—about an hour round trip—and best for those who really appreciate the mythology and enjoy a short, steep hike, rather than a significant landmark or panoramic viewpoint. Be sure to bring a torch for the inside of the cave!",2025-12-15T12:54:31+00:00,0.9694284271244025,positive
2025-12,ampara,google_maps,"We had an amazing afternoon cooking with Sadamali and using the traditional tools. She is happy to answer all your questions and guides you step by step, engaging you to the cooking process. The food she/we prepared was the best we've had in Sri Lanka, especially after her adjusting the spiciness level to our standards. It was the first cooking lesson I ' ve ever had and I really enjoyed every moment!",2025-12-08T11:51:57+00:00,1.0,positive
2025-12,anuradhapura,google_maps,"Our stay at Moonstone Hotel in Anuradhapura was nothing short of amazing. We arrived there at 4.30 a.m. in the middle of a stressful flood situation, and the staff welcomed us with genuine kindness, opening their gates without hesitation and even serving us warm tea. Their friendliness and guest-friendly nature made us feel safe and cared for during a very difficult time.

The rooms were peaceful with zero disturbances, the food was delicious, and the prices were very reasonable. What we loved the most was how homely the entire place felt.

Another huge plus is the location. Moonstone Hotel is conveniently close to major religious sites like Ruwanweli Maha Seya and Sri Maha Bodhi, making it perfect for anyone visiting Anuradhapura.

Highly recommended for anyone looking for comfort, kindness, and a warm, welcoming stay.",2025-12-01T06:30:19+00:00,0.9712959783372752,positive
2025-12,anuradhapura,google_maps,"Experience the Timeless Grandeur

On November 21st 2025, thirteen of us travelling with Flamingo Lanka visited the sacred Ruwanweliseya stupa.  This remarkable hemispherical monument, originally constructed in 140 BC by king Dutugemunu, stands as one of the tallest ancient structures in the world at a height of 103 metres, with a circumference of 290 metres and housing and enshrines a large amount of Buddha’s relics within.  Although king Dutugemunu commenced its construction, it was completed after he passed away.

The Ruwanweliseya, constructed primarily of brick, is a marvel of ancient engineering.  The sheer volume of bricks required for its construction is staggering.  Its iconic white appearance is maintained by periodic painting of the outer plaster.  It is a living shrine that had been drawing pilgrims and awe-struck visitors for centuries!

During our visit there, we joined the many devotees venerating and worshipping the stupa.  As is customary at religious sites, visitors are required to dress modestly and remove their footwear before entry.

Ruwanweliseya is open to pilgrims and visitors throughout the day.",2025-12-04T12:50:34+00:00,1.0,positive
2025-12,anuradhapura,google_maps,Good for joining,2025-12-07T10:55:37+00:00,0.8160451925125605,positive
2025-12,anuradhapura,google_maps,"Darme is a wonderful Tuk Tuk driver. :) we went from Anuradhapura to Mihintale. Darme showed me wonderful places along the way and informed me about the area.
I always felt safe and we had fun together :)",2025-12-04T16:33:42+00:00,1.0,positive
2025-12,anuradhapura,google_maps,"At Issarasamanaramaya : Sinhala Bodhivamsa identifies this name as Kasungiri Vehera. However, this is the ancient Isurumuniya, which is now known as Vessagiriya in Anuradhapura.

Ashta Pala Bodhi Trees in Sri Lanka

According to the historic Mahavamsa, of the first eight saplings that grew out of the Sri Maha Bodhi (Ashta Pala Bodhi), King Devanampiyatissa planted one at Issarasamanaramaya. Therefore the site known as Vessagiriya today is one of the sites in which an Ashtapala Bodhi was planted.",2025-12-09T18:05:44+00:00,0.8679066682643604,positive
2025-12,colombo,google_maps,"A decent place for small kids to enjoy, but can feep monotonous for adults. There are multiple rides, and some of them are alike. The pirateship is decent. There are two packages available each for kids and adults. Any additional ride costs Rs.700.

The arcade games look dated and they need to upgrade the games available. The bowling alley is ok.

The snow world during Christmas time is a decent experience for the kids. Entrance for adults is Rs.1600 and kids from 3 to 10 years are charged Rs.1000. They also had a zipline arranged that goes around 50 meters. The cafe has extremely limited food options.",2025-12-15T09:05:34+00:00,0.8689098736290881,positive
2025-12,colombo,google_maps,"We had an amazing experience with this travel agency during our trip to Malaysia. From start to finish, everything was perfectly organized. The ticket prices were very affordable, and our visas were handled smoothly without any hassle. Every detail from bookings to travel arrangements was well planned and sorted out in advance. We truly felt taken care of throughout the entire journey. Highly recommended for anyone looking for a stress-free and well coordinated travel experience!",2025-12-03T16:37:00+00:00,1.0,positive
