colombo_tourists,kandy_tourists,galle_tourists,badulla_tourists,gampaha_tourists,matale_tourists,nuwara_eliya_tourists,kalutara_tourists,matara_tourists,anuradhapura_tourists,hambantota_tourists,polonnaruwa_tourists
94514,51570,48944,38185,87744,71839,59420,36630,42376,32000,41556,22068
74131,91731,48439,39581,61121,35123,56326,39084,43083,54734,23343,29959
84424,63392,52457,33071,78179,57552,36566,49195,40417,38303,21054,23275
49685,52738,81798,48048,72160,42369,64278,42372,46437,33642,39408,23060
106511,90402,63765,41146,78664,66979,53242,39049,32760,36732,23988,21876
58539,50771,77689,44114,92391,49811,45988,48717,54696,31230,23074,38287
85978,65657,51902,36718,45713,55384,39498,71836,37195,46529,29662,33115
81674,47925,69208,33010,62091,76612,40770,43206,42130,34398,27949,19934
68752,78395,73384,50853,54282,44167,57419,39938,53755,46602,23552,33306
74299,60775,50097,31794,59840,45117,34849,40309,39573,50318,32285,34187
