District,Sample,Predicted,Actual,Error,Error_Percent
Colombo,1,79098,83727,4628,5.53
Colombo,2,145382,140266,-5116,-3.65
Colombo,3,79098,81586,2487,3.05
Colombo,4,133833,142485,8651,6.07
Colombo,5,95461,101651,6189,6.09
Colombo,6,79098,76834,-2264,-2.95
Colombo,7,91005,87962,-3043,-3.46
Colombo,8,79098,73600,-5498,-7.47
Colombo,9,92616,87199,-5417,-6.21
Colombo,10,89947,80800,-9147,-11.32
Kandy,1,113667,110794,-2873,-2.59
Kandy,2,121211,138961,17749,12.77
Kandy,3,100128,107296,7167,6.68
Kandy,4,111679,113487,1807,1.59
Kandy,5,77051,66409,-10642,-16.03
Kandy,6,77051,67142,-9909,-14.76
Kandy,7,131246,137124,5877,4.29
Kandy,8,87163,89040,1876,2.11
Kandy,9,114352,134296,19943,14.85
Kandy,10,77051,71531,-5520,-7.72
Galle,1,60114,65870,5755,8.74
Galle,2,68784,76452,7667,10.03
Galle,3,61476,63607,2130,3.35
Galle,4,101580,108722,7141,6.57
Galle,5,69552,63371,-6181,-9.75
Galle,6,88802,88458,-344,-0.39
Galle,7,82522,77805,-4717,-6.06
Galle,8,60959,59915,-1044,-1.74
Galle,9,94316,99499,5182,5.21
Galle,10,97426,92904,-4522,-4.87
Badulla,1,45631,47357,1725,3.64
Badulla,2,50369,57300,6930,12.09
Badulla,3,54097,52070,-2027,-3.89
Badulla,4,47737,47451,-286,-0.6
Badulla,5,61688,67481,5792,8.58
Badulla,6,66859,78553,11693,14.89
Badulla,7,55467,60470,5002,8.27
Badulla,8,50322,55969,5646,10.09
Badulla,9,42434,37272,-5162,-13.85
Badulla,10,42434,42067,-367,-0.87
Gampaha,1,69792,73269,3476,4.74
Gampaha,2,122395,135612,13216,9.75
Gampaha,3,97461,88574,-8887,-10.03
Gampaha,4,92102,84482,-7620,-9.02
Gampaha,5,69792,78196,8403,10.75
Gampaha,6,72332,78127,5794,7.42
Gampaha,7,80002,89749,9746,10.86
Gampaha,8,69792,55281,-14511,-26.25
Gampaha,9,90140,93038,2897,3.11
Gampaha,10,108579,102511,-6068,-5.92
Matale,1,69152,77985,8832,11.33
Matale,2,92809,93458,648,0.69
Matale,3,60179,53302,-6877,-12.9
Matale,4,76504,79416,2911,3.67
Matale,5,52688,54244,1555,2.87
Matale,6,62036,61327,-709,-1.16
Matale,7,83163,77322,-5841,-7.55
Matale,8,60337,57179,-3158,-5.52
Matale,9,54815,54579,-236,-0.43
Matale,10,53729,46967,-6762,-14.4
Nuwara_Eliya,1,84821,79579,-5242,-6.59
Nuwara_Eliya,2,61831,68091,6259,9.19
Nuwara_Eliya,3,64376,62192,-2184,-3.51
Nuwara_Eliya,4,51568,49443,-2125,-4.3
Nuwara_Eliya,5,71000,68388,-2612,-3.82
Nuwara_Eliya,6,81383,84580,3196,3.78
Nuwara_Eliya,7,52035,56017,3981,7.11
Nuwara_Eliya,8,57935,61912,3976,6.42
Nuwara_Eliya,9,64768,57167,-7601,-13.3
Nuwara_Eliya,10,66157,68023,1865,2.74
Kalutara,1,62550,56147,-6403,-11.41
Kalutara,2,62123,62106,-17,-0.03
Kalutara,3,68221,76288,8066,10.57
Kalutara,4,53318,60105,6786,11.29
Kalutara,5,70814,68228,-2586,-3.79
Kalutara,6,58408,50625,-7783,-15.37
Kalutara,7,54712,60084,5371,8.94
Kalutara,8,63134,61182,-1952,-3.19
Kalutara,9,62399,60764,-1635,-2.69
Kalutara,10,79851,84588,4736,5.6
Matara,1,44667,35399,-9268,-26.18
Matara,2,60621,59923,-698,-1.17
Matara,3,81247,72413,-8834,-12.2
Matara,4,57134,60664,3529,5.82
Matara,5,44667,47363,2695,5.69
Matara,6,55855,56880,1024,1.8
Matara,7,44667,47234,2566,5.43
Matara,8,48796,46357,-2439,-5.26
Matara,9,50958,53449,2490,4.66
Matara,10,59736,60098,361,0.6
Anuradhapura,1,51167,55031,3863,7.02
Anuradhapura,2,51558,48464,-3094,-6.38
Anuradhapura,3,39084,41721,2636,6.32
Anuradhapura,4,48320,42866,-5454,-12.73
Anuradhapura,5,54589,51152,-3437,-6.72
Anuradhapura,6,68349,61704,-6645,-10.77
Anuradhapura,7,45845,46493,647,1.39
Anuradhapura,8,51219,54036,2816,5.21
Anuradhapura,9,53894,55069,1174,2.13
Anuradhapura,10,39084,36852,-2232,-6.06
Hambantota,1,38006,37671,-335,-0.89
Hambantota,2,32570,29865,-2705,-9.06
Hambantota,3,57050,63044,5993,9.51
Hambantota,4,32570,35210,2640,7.5
Hambantota,5,51364,50812,-552,-1.09
Hambantota,6,38477,39553,1075,2.72
Hambantota,7,44177,46681,2503,5.36
Hambantota,8,32570,35343,2773,7.85
Hambantota,9,42272,42653,380,0.89
Hambantota,10,45898,46476,577,1.24
Polonnaruwa,1,32804,35834,3029,8.45
Polonnaruwa,2,34877,35777,899,2.51
Polonnaruwa,3,34077,36568,2490,6.81
Polonnaruwa,4,50420,45864,-4556,-9.93
Polonnaruwa,5,39530,36402,-3128,-8.6
Polonnaruwa,6,37561,42618,5056,11.87
Polonnaruwa,7,43255,46184,2928,6.34
Polonnaruwa,8,37885,35972,-1913,-5.32
Polonnaruwa,9,27917,27582,-335,-1.21
Polonnaruwa,10,38164,38969,804,2.06
