user_id,budget,available_days,distance_preference,num_travelers,activity_type,season,start_latitude,start_longitude,selected_attractions,total_time_hours,total_budget
1,284524.26,7,105.97,1,wildlife,3,8.33223,81.056412,"['35', '122', '43', '11', '49', '9', '13', '77', '12', '80', '66', '85']",23.39,213572.78
2,48600.61,3,252.81,2,cultural,2,6.868696,81.193106,"['73', '71', '48', '119', '64', '82', '15']",20.81,36157.34
3,114932.23,4,238.73,5,wildlife,1,8.00953,81.171432,"['35', '85', '122', '92', '105', '43', '53', '75', '26', '81']",20.29,99284.53
4,30004.51,5,308.93,2,historical,1,6.907101,80.952988,"['83', '81', '46', '34', '10', '61', '95', '36', '74', '33', '96', '117']",37.26,25878.66
5,448404.73,4,120.41,2,historical,3,8.165706,81.87763,"['67', '11', '9', '77', '13', '34', '33', '12', '95', '96']",20.3,332185.96
6,120739.7,7,306.27,2,wildlife,2,6.177036,80.005903,"['85', '35', '53', '55', '122', '32', '31', '29', '120', '72', '30', '48']",31.71,95765.54
7,76856.22,2,247.31,1,wildlife,1,8.148795,80.841038,"['35', '122', '85', '105', '92']",10.07,70409.27
8,238479.46,3,201.87,5,relaxation,3,7.874688,80.340992,"['95', '96', '13', '34', '9', '35', '12']",21.72,222145.17
9,95561.92,10,367.81,3,adventure,1,6.860352,80.516515,"['92', '42', '31', '32', '29', '40', '87', '30', '55', '98', '47', '54']",69.47,82360.64
10,41282.03,7,72.66,1,cultural,2,6.067904,81.374313,"['119', '82', '18', '73', '72', '71', '62', '30', '48', '32', '15', '34']",35.11,35640.4
11,139359.46,3,293.13,3,historical,3,6.100046,80.682085,"['10', '34', '36', '33', '95', '13', '96']",13.2,99809.16
12,89457.23,4,147.31,2,relaxation,1,7.70986,81.763349,"['81', '83', '74', '67', '7', '3', '2', '1', '51', '108']",19.56,58164.05
13,115223.54,3,108.94,2,historical,1,6.241834,79.657948,"['61', '10', '36', '74', '3', '115', '6']",23.81,87044.03
14,82002.73,7,231.22,2,adventure,2,7.675994,80.495905,"['31', '29', '32', '30', '55', '45', '102', '41', '120', '92', '94', '62']",36.47,67806.56
15,17905.57,5,320.81,1,adventure,1,7.51515,81.79907,"['92', '40', '32', '31', '29', '30', '42', '98', '102', '62', '45', '54']",26.65,13534.56
16,72048.76,4,59.46,2,adventure,1,7.497724,81.84773,"['42', '40', '92', '30', '45', '29', '32', '78', '102', '31']",26.6,55582.36
17,266967.45,2,379.2,3,wildlife,1,6.218142,79.710692,"['35', '53', '122', '3', '1']",11.88,200032.01
18,71399.47,2,212.17,2,wildlife,3,6.590796,79.512335,"['35', '122', '53', '43', '17']",8.44,50487.74
19,37306.1,4,415.38,1,relaxation,3,9.468506,81.525311,"['96', '14', '95', '34', '13', '12', '36', '100', '33', '10']",29.24,23759.95
20,14814.54,5,375.25,1,cultural,1,7.008319,80.193524,"['16', '17', '36', '48', '15', '34', '73', '18', '64', '33', '92', '119']",35.49,13494.08
21,104455.53,3,365.42,1,relaxation,2,8.792108,80.812025,"['64', '8', '117', '85', '51', '116', '4']",11.43,97983.6
22,103455.92,7,462.42,1,wildlife,2,9.553226,80.737624,"['85', '35', '43', '97', '122', '64', '73', '8', '53', '84', '48', '31']",55.14,82842.03
23,14326.2,4,318.79,4,historical,3,6.895878,81.487144,"['10', '34', '95', '36', '96', '13', '33', '14', '11', '12']",28.75,9798.22
24,313188.65,3,73.73,3,adventure,2,8.899338,80.521214,"['94', '88', '86', '52', '102', '111', '97']",12.09,292278.13
25,11377.25,4,185.81,2,beach,3,6.760779,79.880275,"['5', '108', '118', '17', '16', '1', '36', '6', '3', '38']",20.34,10321.58
26,258983.68,1,261.23,2,adventure,2,8.602345,81.259585,"['102', '88', '94', '31', '29']",3.12,203806.92
27,31528.8,14,93.64,2,wildlife,1,8.784367,80.006328,"['83', '85', '46', '43', '96', '109', '92', '122', '35', '14', '105', '95']",42.54,24347.56
28,43752.51,7,472.02,2,relaxation,2,6.217644,80.544035,"['117', '4', '64', '8', '10', '1', '36', '85', '2', '7', '34', '95']",29.81,38865.85
29,63341.63,3,149.15,3,cultural,2,8.26244,81.016512,"['73', '64', '60', '48', '106', '71', '116']",21.31,54854.63
30,118378.82,4,133.97,3,historical,3,6.701924,80.97284,"['34', '33', '10', '36', '95', '13', '67', '11', '9', '96']",29.92,75314.53
31,118397.51,2,185.71,1,beach,1,9.082228,80.407957,"['90', '3', '100', '8', '1']",11.22,79873.49
32,148138.33,1,369.03,2,adventure,2,6.218551,80.02254,"['120', '55', '31', '32', '29']",5.97,126177.6
33,312119.8,3,334.19,2,wildlife,3,7.860257,80.118668,"['35', '122', '43', '53', '85', '96', '95']",9.25,292184.2
34,11980.51,5,55.98,2,cultural,1,7.840314,80.162277,"['48', '16', '17', '15', '34', '92', '36', '106', '73', '95', '83', '33']",24.43,8271.09
35,36561.32,5,399.14,1,wildlife,1,7.846524,79.764341,"['35', '122', '92', '85', '83', '43', '53', '105', '46', '1', '3', '25']",22.97,29531.45
36,10627.84,3,165.57,2,historical,1,9.190354,79.967863,"['83', '46', '14', '96', '81', '64', '95']",18.79,7327.71
37,126218.75,7,250.0,3,adventure,2,8.489648,80.312083,"['94', '31', '29', '88', '32', '102', '86', '52', '30', '55', '120', '41']",26.75,97983.84
38,223271.94,10,311.65,1,beach,1,8.325836,80.79619,"['3', '1', '2', '7', '6', '90', '8', '5', '51', '108', '4', '100']",57.35,184753.79
39,370455.34,5,486.7,2,relaxation,1,8.084452,80.42751,"['81', '83', '3', '1', '2', '6', '7', '46', '74', '61', '90', '96']",18.87,268457.09
40,50586.47,4,336.57,1,wildlife,3,8.082898,80.361602,"['35', '122', '43', '53', '85', '96', '95', '15', '34', '13']",18.41,32741.71
41,129596.51,7,199.4,2,wildlife,2,8.54877,79.67778,"['85', '122', '43', '35', '116', '106', '48', '97', '64', '94', '112', '73']",50.87,111204.24
42,78740.25,14,314.31,2,adventure,2,6.247138,80.727662,"['32', '31', '29', '30', '55', '62', '45', '102', '40', '120', '41', '92']",89.33,58405.61
43,204785.22,10,351.7,2,relaxation,3,6.054274,80.467293,"['10', '34', '36', '33', '35', '95', '5', '108', '118', '53', '96', '13']",72.53,185790.69
44,113813.99,5,280.22,2,beach,1,8.047693,81.460304,"['3', '7', '1', '2', '6', '90', '8', '51', '108', '4', '5', '100']",16.96,82485.74
45,361331.08,10,379.72,2,relaxation,1,9.481312,80.479297,"['83', '81', '46', '3', '90', '1', '2', '6', '7', '64', '74', '14']",78.47,308358.57
46,140808.37,2,54.86,4,adventure,2,9.579857,81.666081,"['99', '98', '88', '52', '111']",10.39,121955.41
47,44170.32,7,304.59,3,relaxation,2,6.97135,81.630604,"['4', '117', '64', '8', '108', '34', '10', '51', '95', '85', '116', '36']",49.06,36248.21
48,441547.95,1,231.08,2,wildlife,3,9.069189,79.808591,"['43', '122', '35', '85', '53']",5.68,307924.95
49,80139.18,1,307.58,2,wildlife,3,6.270865,79.630108,"['35', '53', '122', '43', '10']",3.06,72529.42
50,38658.12,5,239.4,1,cultural,1,8.810624,79.520051,"['48', '64', '16', '17', '15', '34', '116', '106', '36', '73', '74', '33']",38.78,31615.03
51,121438.76,2,380.42,5,wildlife,1,8.601925,81.590322,"['35', '85', '122', '43', '53']",12.71,74199.82
52,346474.54,3,493.85,4,relaxation,1,7.426995,81.211972,"['3', '1', '2', '7', '81', '6', '83']",17.39,209647.22
53,78254.09,5,341.61,2,adventure,1,7.542364,80.485255,"['92', '42', '87', '31', '98', '29', '32', '40', '30', '47', '55', '50']",35.91,60983.81
